Family	GeneID	Condition	Replicate	Sample	TPM
ABC	TRINITY_DN12134_c0_g1	Dan	3	Dan_mg3	0.34374
ABC	TRINITY_DN12134_c0_g1	Mul	1	Mul_mg1	0.640061
ABC	TRINITY_DN12134_c0_g1	Mul	2	Mul_mg2	1.23186
ABC	TRINITY_DN12134_c0_g1	Mul	3	Mul_mg3	0.684505
ABC	TRINITY_DN12905_c0_g2	Dan	1	Dan_mg1	0.129634
ABC	TRINITY_DN12905_c0_g2	Dan	2	Dan_mg2	0.204889
ABC	TRINITY_DN12905_c0_g2	Dan	3	Dan_mg3	0.087326
ABC	TRINITY_DN12905_c0_g2	Mul	1	Mul_mg1	0.18942399999999998
ABC	TRINITY_DN12905_c0_g2	Mul	2	Mul_mg2	0.151115
ABC	TRINITY_DN12905_c0_g2	Mul	3	Mul_mg3	0.159671
ABC	TRINITY_DN13145_c0_g1	Dan	1	Dan_mg1	0.145776
ABC	TRINITY_DN13145_c0_g1	Dan	2	Dan_mg2	0.319373
ABC	TRINITY_DN13145_c0_g1	Dan	3	Dan_mg3	0.227135
ABC	TRINITY_DN13145_c0_g1	Mul	1	Mul_mg1	0.564971
ABC	TRINITY_DN13145_c0_g1	Mul	2	Mul_mg2	0.715145
ABC	TRINITY_DN13145_c0_g1	Mul	3	Mul_mg3	0.806998
ABC	TRINITY_DN1442_c0_g1	Dan	1	Dan_mg1	2.0189470000000003
ABC	TRINITY_DN1442_c0_g1	Dan	2	Dan_mg2	4.206286
ABC	TRINITY_DN1442_c0_g1	Dan	3	Dan_mg3	4.898499
ABC	TRINITY_DN1442_c0_g1	Mul	1	Mul_mg1	4.056814
ABC	TRINITY_DN1442_c0_g1	Mul	2	Mul_mg2	3.50937
ABC	TRINITY_DN1442_c0_g1	Mul	3	Mul_mg3	1.8502159999999999
ABC	TRINITY_DN16854_c0_g1	Dan	1	Dan_mg1	0.080382
ABC	TRINITY_DN16854_c0_g1	Dan	2	Dan_mg2	0.061393
ABC	TRINITY_DN16854_c0_g1	Dan	3	Dan_mg3	0.084627
ABC	TRINITY_DN16854_c0_g1	Mul	1	Mul_mg1	0.067196
ABC	TRINITY_DN16854_c0_g1	Mul	2	Mul_mg2	0.094155
ABC	TRINITY_DN16854_c0_g1	Mul	3	Mul_mg3	0.181649
ABC	TRINITY_DN16854_c0_g2	Dan	1	Dan_mg1	0.08494499999999999
ABC	TRINITY_DN16854_c0_g2	Dan	2	Dan_mg2	0.104567
ABC	TRINITY_DN16854_c0_g2	Dan	3	Dan_mg3	0.086847
ABC	TRINITY_DN16854_c0_g2	Mul	1	Mul_mg1	0.126491
ABC	TRINITY_DN16854_c0_g2	Mul	2	Mul_mg2	0.045468
ABC	TRINITY_DN16854_c0_g2	Mul	3	Mul_mg3	0.07756
ABC	TRINITY_DN16854_c0_g4	Dan	1	Dan_mg1	0.116129
ABC	TRINITY_DN16854_c0_g4	Dan	2	Dan_mg2	0.143279
ABC	TRINITY_DN16854_c0_g4	Dan	3	Dan_mg3	0.208288
ABC	TRINITY_DN16854_c0_g4	Mul	1	Mul_mg1	0.092049
ABC	TRINITY_DN16854_c0_g4	Mul	2	Mul_mg2	0.085077
ABC	TRINITY_DN16854_c0_g4	Mul	3	Mul_mg3	0.10123
ABC	TRINITY_DN16854_c0_g5	Dan	1	Dan_mg1	0.0
ABC	TRINITY_DN16854_c0_g5	Dan	2	Dan_mg2	0.193415
ABC	TRINITY_DN16854_c0_g5	Dan	3	Dan_mg3	0.080681
ABC	TRINITY_DN16854_c0_g5	Mul	1	Mul_mg1	0.238216
ABC	TRINITY_DN16854_c0_g5	Mul	2	Mul_mg2	0.108634
ABC	TRINITY_DN16854_c0_g5	Mul	3	Mul_mg3	0.0
ABC	TRINITY_DN18075_c0_g1	Dan	1	Dan_mg1	0.166771
ABC	TRINITY_DN18075_c0_g1	Dan	2	Dan_mg2	0.556694
ABC	TRINITY_DN18075_c0_g1	Dan	3	Dan_mg3	0.912225
ABC	TRINITY_DN18075_c0_g1	Mul	1	Mul_mg1	0.816789
ABC	TRINITY_DN18075_c0_g1	Mul	2	Mul_mg2	0.476444
ABC	TRINITY_DN18075_c0_g1	Mul	3	Mul_mg3	0.223954
ABC	TRINITY_DN18452_c0_g1	Dan	1	Dan_mg1	0.504035
ABC	TRINITY_DN18452_c0_g1	Dan	2	Dan_mg2	0.771927
ABC	TRINITY_DN18452_c0_g1	Dan	3	Dan_mg3	0.550454
ABC	TRINITY_DN18452_c0_g1	Mul	1	Mul_mg1	0.970993
ABC	TRINITY_DN18452_c0_g1	Mul	2	Mul_mg2	0.472932
ABC	TRINITY_DN18452_c0_g1	Mul	3	Mul_mg3	0.479729
ABC	TRINITY_DN18570_c0_g1	Dan	1	Dan_mg1	0.083872
ABC	TRINITY_DN18570_c0_g1	Dan	2	Dan_mg2	0.060324
ABC	TRINITY_DN18570_c0_g1	Dan	3	Dan_mg3	0.053054
ABC	TRINITY_DN18570_c0_g1	Mul	1	Mul_mg1	0.0
ABC	TRINITY_DN18570_c0_g1	Mul	2	Mul_mg2	0.040639
ABC	TRINITY_DN18570_c0_g1	Mul	3	Mul_mg3	0.34459700000000004
ABC	TRINITY_DN20355_c0_g1	Dan	1	Dan_mg1	1.144471
ABC	TRINITY_DN20355_c0_g1	Dan	2	Dan_mg2	1.064304
ABC	TRINITY_DN20355_c0_g1	Dan	3	Dan_mg3	0.598611
ABC	TRINITY_DN20355_c0_g1	Mul	1	Mul_mg1	0.48431
ABC	TRINITY_DN20355_c0_g1	Mul	2	Mul_mg2	0.353588
ABC	TRINITY_DN20355_c0_g1	Mul	3	Mul_mg3	1.1756790000000001
ABC	TRINITY_DN21667_c0_g1	Dan	1	Dan_mg1	0.080968
ABC	TRINITY_DN21667_c0_g1	Dan	2	Dan_mg2	0.058811
ABC	TRINITY_DN21667_c0_g1	Dan	3	Dan_mg3	0.097957
ABC	TRINITY_DN21667_c0_g1	Mul	1	Mul_mg1	0.0432
ABC	TRINITY_DN21667_c0_g1	Mul	2	Mul_mg2	0.049934
ABC	TRINITY_DN21667_c0_g1	Mul	3	Mul_mg3	0.047224
ABC	TRINITY_DN21780_c0_g1	Dan	1	Dan_mg1	0.133043
ABC	TRINITY_DN21780_c0_g1	Dan	2	Dan_mg2	0.128206
ABC	TRINITY_DN21780_c0_g1	Dan	3	Dan_mg3	0.0
ABC	TRINITY_DN21780_c0_g1	Mul	1	Mul_mg1	0.094849
ABC	TRINITY_DN21780_c0_g1	Mul	2	Mul_mg2	0.047797
ABC	TRINITY_DN21780_c0_g1	Mul	3	Mul_mg3	0.124574
ABC	TRINITY_DN21780_c0_g2	Dan	1	Dan_mg1	0.047744
ABC	TRINITY_DN21780_c0_g2	Dan	2	Dan_mg2	0.05965
ABC	TRINITY_DN21780_c0_g2	Dan	3	Dan_mg3	0.0
ABC	TRINITY_DN21780_c0_g2	Mul	1	Mul_mg1	0.0
ABC	TRINITY_DN21780_c0_g2	Mul	2	Mul_mg2	0.363663
ABC	TRINITY_DN21780_c0_g2	Mul	3	Mul_mg3	0.0
ABC	TRINITY_DN2350_c0_g1	Dan	1	Dan_mg1	1.00708
ABC	TRINITY_DN2350_c0_g1	Dan	2	Dan_mg2	6.212059
ABC	TRINITY_DN2350_c0_g1	Dan	3	Dan_mg3	8.373244
ABC	TRINITY_DN2350_c0_g1	Mul	1	Mul_mg1	8.760536
ABC	TRINITY_DN2350_c0_g1	Mul	2	Mul_mg2	4.265139
ABC	TRINITY_DN2350_c0_g1	Mul	3	Mul_mg3	0.30161899999999997
ABC	TRINITY_DN254_c0_g1	Dan	1	Dan_mg1	2.6885
ABC	TRINITY_DN254_c0_g1	Dan	2	Dan_mg2	3.424195
ABC	TRINITY_DN254_c0_g1	Dan	3	Dan_mg3	3.040273
ABC	TRINITY_DN254_c0_g1	Mul	1	Mul_mg1	3.957062
ABC	TRINITY_DN254_c0_g1	Mul	2	Mul_mg2	4.123938
ABC	TRINITY_DN254_c0_g1	Mul	3	Mul_mg3	3.0562560000000003
ABC	TRINITY_DN264_c0_g1	Dan	1	Dan_mg1	13.159771000000001
ABC	TRINITY_DN264_c0_g1	Dan	2	Dan_mg2	13.638216
ABC	TRINITY_DN264_c0_g1	Dan	3	Dan_mg3	16.574191000000003
ABC	TRINITY_DN264_c0_g1	Mul	1	Mul_mg1	15.504973
ABC	TRINITY_DN264_c0_g1	Mul	2	Mul_mg2	34.12347
ABC	TRINITY_DN264_c0_g1	Mul	3	Mul_mg3	65.343603
ABC	TRINITY_DN30_c14_g1	Dan	1	Dan_mg1	10.414166
ABC	TRINITY_DN30_c14_g1	Dan	2	Dan_mg2	15.869789
ABC	TRINITY_DN30_c14_g1	Dan	3	Dan_mg3	13.090997999999999
ABC	TRINITY_DN30_c14_g1	Mul	1	Mul_mg1	14.701672
ABC	TRINITY_DN30_c14_g1	Mul	2	Mul_mg2	19.9938
ABC	TRINITY_DN30_c14_g1	Mul	3	Mul_mg3	27.261679
ABC	TRINITY_DN332_c0_g1	Dan	1	Dan_mg1	9.644035
ABC	TRINITY_DN332_c0_g1	Dan	2	Dan_mg2	13.667025
ABC	TRINITY_DN332_c0_g1	Dan	3	Dan_mg3	13.294213
ABC	TRINITY_DN332_c0_g1	Mul	1	Mul_mg1	10.368015
ABC	TRINITY_DN332_c0_g1	Mul	2	Mul_mg2	10.612119999999999
ABC	TRINITY_DN332_c0_g1	Mul	3	Mul_mg3	15.655002
ABC	TRINITY_DN33353_c0_g1	Dan	1	Dan_mg1	5.329509
ABC	TRINITY_DN33353_c0_g1	Dan	2	Dan_mg2	9.461519000000001
ABC	TRINITY_DN33353_c0_g1	Dan	3	Dan_mg3	3.58994
ABC	TRINITY_DN33353_c0_g1	Mul	1	Mul_mg1	8.473355
ABC	TRINITY_DN33353_c0_g1	Mul	2	Mul_mg2	10.226851
ABC	TRINITY_DN33353_c0_g1	Mul	3	Mul_mg3	8.011502
ABC	TRINITY_DN33832_c0_g1	Dan	1	Dan_mg1	0.091484
ABC	TRINITY_DN33832_c0_g1	Dan	2	Dan_mg2	0.207676
ABC	TRINITY_DN33832_c0_g1	Dan	3	Dan_mg3	0.20251
ABC	TRINITY_DN33832_c0_g1	Mul	1	Mul_mg1	0.473426
ABC	TRINITY_DN33832_c0_g1	Mul	2	Mul_mg2	0.166966
ABC	TRINITY_DN33832_c0_g1	Mul	3	Mul_mg3	0.236956
ABC	TRINITY_DN35371_c0_g1	Dan	1	Dan_mg1	0.0
ABC	TRINITY_DN35371_c0_g1	Dan	2	Dan_mg2	0.19364
ABC	TRINITY_DN35371_c0_g1	Dan	3	Dan_mg3	0.11149
ABC	TRINITY_DN35371_c0_g1	Mul	1	Mul_mg1	0.078711
ABC	TRINITY_DN35371_c0_g1	Mul	2	Mul_mg2	0.0
ABC	TRINITY_DN35371_c0_g1	Mul	3	Mul_mg3	0.0
ABC	TRINITY_DN35371_c0_g2	Dan	1	Dan_mg1	0.017645
ABC	TRINITY_DN35371_c0_g2	Dan	2	Dan_mg2	0.065113
ABC	TRINITY_DN35371_c0_g2	Dan	3	Dan_mg3	0.149404
ABC	TRINITY_DN35371_c0_g2	Mul	1	Mul_mg1	0.103997
